Code,Name,Ticker,Sector,Market,Has_6Y_Data,Has_5Y_Data,Data_Start,Data_End
5265,DOLPHIN INTERNATIONAL BERHAD,5265.KL,,Main,True,True,2018-01-02,2025-12-02
7169,DOMINANT ENTERPRISE BERHAD,7169.KL,,Main,True,True,2018-01-02,2025-12-01
7198,DPS RESOURCES BERHAD,7198.KL,,Main,True,True,2018-01-02,2025-12-01
1619,DRB-HICOM BERHAD,1619.KL,,Main,True,True,2018-01-02,2025-12-02
7233,DUFU TECHNOLOGY CORP. BERHAD,7233.KL,,Main,True,True,2018-01-02,2025-12-02
7148,CCM DUOPHARMA BIOTECH BERHAD,7148.KL,,Main,True,True,2018-01-02,2025-12-02
3948,DUTALAND BERHAD,3948.KL,,Main,True,True,2018-01-02,2025-12-01
3026,DUTCH LADY MILK INDUSTRIES BERHAD,3026.KL,,Main,True,True,2018-01-02,2025-12-02
5178,DYNACIATE GROUP BERHAD,5178.KL,,Main,True,True,2018-01-02,2025-12-02
5259,E.A.TECHNIQUE (M) BERHAD,5259.KL,,Main,True,True,2018-01-02,2025-12-02
3417,EASTERN & ORIENTAL BERHAD,3417.KL,,Main,True,True,2018-01-02,2025-12-02
2097,EASTLAND EQUITY BHD,2097.KL,,Main,True,True,2018-01-02,2025-12-02
2143,ECM LIBRA FINANCIAL GROUP BERHAD,2143.KL,,Main,True,True,2018-01-02,2025-12-02
8206,ECO WORLD DEVELOPMENT GROUP BERHAD,8206.KL,,Main,True,True,2018-01-02,2025-12-02
5283,ECO WORLD INTERNATIONAL BERHAD,5283.KL,,Main,True,True,2018-01-02,2025-12-02
0059,ECOBUILT HOLDINGS BERHAD,0059.KL,,Main,True,True,2018-01-02,2025-12-02
3557,ECOFIRST CONSOLIDATED BHD,3557.KL,,Main,True,True,2018-01-02,2025-12-02
5253,ECONPILE HOLDINGS BERHAD,5253.KL,,Main,True,True,2018-01-02,2025-12-02
5036,EDARAN BERHAD,5036.KL,,Main,True,True,2018-01-02,2025-12-02
7471,EDEN INC. BERHAD,7471.KL,,Main,True,True,2018-01-02,2025-12-02
0064,EFFICIENT E-SOLUTIONS BERHAD,0064.KL,,Main,True,True,2018-01-02,2025-12-02
8907,EG INDUSTRIES BERHAD,8907.KL,,Main,True,True,2018-01-02,2025-12-02
5208,EITA RESOURCES BERHAD,5208.KL,,Main,True,True,2018-01-02,2025-12-02
8877,EKOVEST BERHAD,8877.KL,,Main,True,True,2018-01-02,2025-12-02
9016,EKSONS CORPORATION BERHAD,9016.KL,,Main,True,True,2018-01-02,2025-12-02
5228,ELK-DESA RESOURCES BERHAD,5228.KL,,Main,True,True,2018-01-02,2025-12-02
0090,ELSOFT RESEARCH BERHAD,0090.KL,,Main,True,True,2018-01-02,2025-12-02
9091,EMICO HOLDINGS BERHAD,9091.KL,,Main,True,True,2018-01-02,2025-12-01
6076,ENCORP BERHAD,6076.KL,,Main,True,True,2018-01-02,2025-12-02
7149,ENG KAH CORPORATION BERHAD,7149.KL,,Main,True,True,2018-01-02,2025-12-02
5056,ENGTEX GROUP BERHAD,5056.KL,,Main,True,True,2018-01-02,2025-12-02
8613,ENRA GROUP BERHAD,8613.KL,,Main,True,True,2018-01-02,2025-12-01
7217,EONMETALL GROUP BERHAD,7217.KL,,Main,True,True,2018-01-02,2025-12-01
7773,EP MANUFACTURING BHD,7773.KL,,Main,True,True,2018-01-02,2025-12-02
5081,ESTHETICS INTERNATIONAL GROUP BERHAD,5081.KL,,Main,True,True,2018-01-02,2025-12-01
6815,EUPE CORPORATION BERHAD,6815.KL,,Main,True,True,2018-01-02,2025-12-01
7208,EURO HOLDINGS BERHAD,7208.KL,,Main,True,True,2018-01-02,2025-12-02
7094,EUROSPAN HOLDINGS BERHAD,7094.KL,,Main,True,True,2018-01-02,2025-12-02
5101,EVERGREEN FIBREBOARD BERHAD,5101.KL,,Main,True,True,2018-01-02,2025-12-02
5205,EVERSENDAI CORPORATION BERHAD,5205.KL,,Main,True,True,2018-01-02,2025-12-02
7249,EWEIN BERHAD,7249.KL,,Main,True,True,2018-01-02,2025-12-02
0065,EXCEL FORCE MSC BERHAD,0065.KL,,Main,True,True,2018-01-02,2025-12-02
2984,FACB INDUSTRIES INCORPORATED BERHAD,2984.KL,,Main,True,True,2018-01-02,2025-12-02
7047,FAJARBARU BUILDER GROUP BHD,7047.KL,,Main,True,True,2018-01-02,2025-12-02
5029,FAR EAST HOLDINGS BERHAD,5029.KL,,Main,True,True,2018-01-02,2025-12-01
6041,FARLIM GROUP (MALAYSIA) BHD,6041.KL,,Main,True,True,2018-01-02,2025-12-02
7229,FAVELLE FAVCO BERHAD,7229.KL,,Main,True,True,2018-01-02,2025-12-02
2755,FCW HOLDINGS BERHAD,2755.KL,,Main,True,True,2018-01-02,2025-12-01
8605,FEDERAL INTERNATIONAL HOLDINGS BERHAD,8605.KL,,Main,True,True,2018-01-02,2025-12-01
6939,FIAMMA HOLDINGS BERHAD,6939.KL,,Main,True,True,2018-01-02,2025-12-02
0149,FIBON BERHAD,0149.KL,,Main,True,True,2018-01-02,2025-12-02
3107,FIMA CORPORATION BERHAD,3107.KL,,Main,True,True,2018-01-02,2025-12-02
9318,FITTERS DIVERSIFIED BERHAD,9318.KL,,Main,True,True,2018-01-02,2025-12-02
5197,FOCUS LUMBER BERHAD,5197.KL,,Main,True,True,2018-01-02,2025-12-01
9172,FORMOSA PROSONIC INDUSTRIES BERHAD,9172.KL,,Main,True,True,2018-01-02,2025-12-02
5277,FOUNDPAC GROUP BERHAD,5277.KL,,Main,True,True,2018-01-02,2025-12-02
3689,FRASER & NEAVE HOLDINGS BHD,3689.KL,,Main,True,True,2018-01-02,2025-12-02
7210,FREIGHT MANAGEMENT HOLDINGS BERHAD,7210.KL,,Main,True,True,2018-01-02,2025-12-02
0128,FRONTKEN CORPORATION BERHAD,0128.KL,,Main,True,True,2018-01-02,2025-12-02
9377,FSBM HOLDINGS BERHAD,9377.KL,,Main,True,True,2018-01-02,2025-12-02
7184,G3 GLOBAL BERHAD,7184.KL,,Main,True,True,2018-01-02,2025-12-02
5226,GABUNGAN AQRS BERHAD,5226.KL,,Main,True,True,2018-01-02,2025-12-02
9261,GADANG HOLDINGS BHD,9261.KL,,Main,True,True,2018-01-02,2025-12-02
5398,GAMUDA BERHAD,5398.KL,,Main,True,True,2018-01-02,2025-12-02
5209,GAS MALAYSIA BERHAD,5209.KL,,Main,True,True,2018-01-02,2025-12-02
0078,GD EXPRESS CARRIER BERHAD,0078.KL,,Main,True,True,2018-01-02,2025-12-02
7197,GE-SHEN CORPORATION BERHAD,7197.KL,,Main,True,True,2018-01-02,2025-12-02
3182,GENTING BERHAD,3182.KL,,Main,True,True,2018-01-02,2025-12-02
4715,GENTING MALAYSIA BERHAD,4715.KL,,Main,True,True,2018-01-02,2025-12-02
2291,GENTING PLANTATIONS BERHAD,2291.KL,,Main,True,True,2018-01-02,2025-12-02
3204,GEORGE KENT (MALAYSIA) BERHAD,3204.KL,,Main,True,True,2018-01-02,2025-12-01
5079,GETS GLOBAL BERHAD,5079.KL,,Main,True,True,2018-01-02,2025-12-02
1147,GLOBAL ORIENTAL BERHAD,1147.KL,,Main,True,True,2018-01-02,2025-12-01
5220,GLOBALTEC FORMATION BERHAD,5220.KL,,Main,True,True,2018-01-02,2025-12-02
7022,GLOBETRONICS TECHNOLOGY BERHAD,7022.KL,,Main,True,True,2018-01-02,2025-12-02
5020,GLOMAC BERHAD,5020.KL,,Main,True,True,2018-01-02,2025-12-02
7382,GOLDEN LAND BERHAD,7382.KL,,Main,True,True,2018-01-02,2025-12-01
5649,GOLDEN PHAROS BERHAD,5649.KL,,Main,True,True,2018-01-02,2025-12-02
7192,GOODWAY INTEGRATED INDUSTRIES BERHAD,7192.KL,,Main,True,True,2018-01-02,2025-12-02
2135,GOPENG BERHAD,2135.KL,,Main,True,True,2018-01-02,2025-12-02
7096,GPA HOLDINGS BERHAD,7096.KL,,Main,True,True,2018-01-02,2025-12-01
