Code,Name,Ticker,Sector
7204,D&O GREEN TECHNOLOGIES BERHAD,7204.KL,N/A
7179,D.B.E. GURNEY RESOURCES BERHAD,7179.KL,N/A
4456,DAGANG NEXCHANGE BERHAD,4456.KL,N/A
8125,DAIBOCHI BERHAD,8125.KL,N/A
5355,DAIMAN DEVELOPMENT BHD,5355.KL,N/A
3484,DAMANSARA REALTY BHD,3484.KL,N/A
5276,DANCOMECH HOLDINGS BERHAD,5276.KL,N/A
8338,DATAPREP HOLDINGS BHD,8338.KL,N/A
5216,DATASONIC GROUP BERHAD,5216.KL,N/A
0091,DAYA MATERIALS BERHAD,0091.KL,N/A
5141,DAYANG ENTERPRISE HOLDINGS BERHAD,5141.KL,N/A
7119,DEGEM BERHAD,7119.KL,N/A
5132,DELEUM BERHAD,5132.KL,N/A
7212,DESTINI BERHAD,7212.KL,N/A
7277,DIALOG GROUP BERHAD,7277.KL,N/A
6947,DIGI.COM BERHAD,6947.KL,N/A
0029,DIGISTAR CORPORATION BERHAD,0029.KL,N/A
7528,DKLS INDUSTRIES BHD,7528.KL,N/A
5908,DKSH HOLDINGS (MALAYSIA) BERHAD,5908.KL,N/A
7114,D'NONCE TECHNOLOGY BHD,7114.KL,N/A
5835,DOLOMITE CORPORATION BERHAD,5835.KL,N/A
5265,DOLPHIN INTERNATIONAL BERHAD,5265.KL,N/A
7169,DOMINANT ENTERPRISE BERHAD,7169.KL,N/A
7198,DPS RESOURCES BERHAD,7198.KL,N/A
1619,DRB-HICOM BERHAD,1619.KL,N/A
7233,DUFU TECHNOLOGY CORP. BERHAD,7233.KL,N/A
7148,CCM DUOPHARMA BIOTECH BERHAD,7148.KL,N/A
3948,DUTALAND BERHAD,3948.KL,N/A
3026,DUTCH LADY MILK INDUSTRIES BERHAD,3026.KL,N/A
5178,DYNACIATE GROUP BERHAD,5178.KL,N/A
5259,E.A.TECHNIQUE (M) BERHAD,5259.KL,N/A
3417,EASTERN & ORIENTAL BERHAD,3417.KL,N/A
2097,EASTLAND EQUITY BHD,2097.KL,N/A
2143,ECM LIBRA FINANCIAL GROUP BERHAD,2143.KL,N/A
8206,ECO WORLD DEVELOPMENT GROUP BERHAD,8206.KL,N/A
5283,ECO WORLD INTERNATIONAL BERHAD,5283.KL,N/A
0059,ECOBUILT HOLDINGS BERHAD,0059.KL,N/A
3557,ECOFIRST CONSOLIDATED BHD,3557.KL,N/A
5253,ECONPILE HOLDINGS BERHAD,5253.KL,N/A
5036,EDARAN BERHAD,5036.KL,N/A
7471,EDEN INC. BERHAD,7471.KL,N/A
0064,EFFICIENT E-SOLUTIONS BERHAD,0064.KL,N/A
8907,EG INDUSTRIES BERHAD,8907.KL,N/A
5208,EITA RESOURCES BERHAD,5208.KL,N/A
7182,EKA NOODLES BERHAD,7182.KL,N/A
8877,EKOVEST BERHAD,8877.KL,N/A
9016,EKSONS CORPORATION BERHAD,9016.KL,N/A
5228,ELK-DESA RESOURCES BERHAD,5228.KL,N/A
0090,ELSOFT RESEARCH BERHAD,0090.KL,N/A
9091,EMICO HOLDINGS BERHAD,9091.KL,N/A
6076,ENCORP BERHAD,6076.KL,N/A
7149,ENG KAH CORPORATION BERHAD,7149.KL,N/A
5056,ENGTEX GROUP BERHAD,5056.KL,N/A
8613,ENRA GROUP BERHAD,8613.KL,N/A
7217,EONMETALL GROUP BERHAD,7217.KL,N/A
7773,EP MANUFACTURING BHD,7773.KL,N/A
5081,ESTHETICS INTERNATIONAL GROUP BERHAD,5081.KL,N/A
6815,EUPE CORPORATION BERHAD,6815.KL,N/A
7208,EURO HOLDINGS BERHAD,7208.KL,N/A
7094,EUROSPAN HOLDINGS BERHAD,7094.KL,N/A
5101,EVERGREEN FIBREBOARD BERHAD,5101.KL,N/A
5205,EVERSENDAI CORPORATION BERHAD,5205.KL,N/A
7249,EWEIN BERHAD,7249.KL,N/A
